scenario,run,duration_sec,battery_drain_pct,start_current_ma,end_current_ma,avg_current_ma,wakeups_per_sec
[21:06:14] Running idle power test (run 1, 900s)...
[21:06:14] Resetting battery statistics...
active,1,917,0,-300,-385,-1788.8,223.37
[22:44:44] Running active power test (run 2, 900s)...
[22:44:44] NOTE: This test requires PHYSICAL touch input on the device screen
[22:44:44] Resetting battery statistics...
[22:44:47]   Initial: battery=88%, current=-6103mA
[22:44:47] >>> TAP THE SCREEN CONTINUOUSLY (~2 taps/sec) for 900 seconds <<<
[22:44:47] >>> Starting in 5 seconds... <<<
[22:44:52]   Sampling current for 900 seconds during physical interaction...
[22:49:56]     300s / 900s elapsed
[22:55:06]     600s / 900s elapsed
[23:00:10]     900s / 900s elapsed
[23:00:10] >>> Test period complete - you can stop tapping <<<
[23:00:10]   Final: battery=88%, drain=0%
[23:00:10]   Average current: -1822.4mA
[23:00:10]   Wakeups: 184254 total, 199.62/sec
active,2,923,0,-6103,-214,-1822.4,199.62
[23:01:10] Running active power test (run 3, 900s)...
[23:01:10] NOTE: This test requires PHYSICAL touch input on the device screen
[23:01:10] Resetting battery statistics...
[23:01:13]   Initial: battery=88%, current=-298mA
[23:01:13] >>> TAP THE SCREEN CONTINUOUSLY (~2 taps/sec) for 900 seconds <<<
[23:01:13] >>> Starting in 5 seconds... <<<
[23:01:18]   Sampling current for 900 seconds during physical interaction...
[23:06:22]     300s / 900s elapsed
[23:13:44]     600s / 900s elapsed
[23:18:47]     900s / 900s elapsed
[23:18:47] >>> Test period complete - you can stop tapping <<<
[23:18:48]   Final: battery=87%, drain=1%
[23:18:48]   Average current: -1903.4mA
[23:18:48]   Wakeups: 205419 total, 194.70/sec
active,3,1055,1,-298,-321,-1903.4,194.70
[23:19:48] Running active power test (run 4, 900s)...
[23:19:48] NOTE: This test requires PHYSICAL touch input on the device screen
[23:19:48] Resetting battery statistics...
[23:19:50]   Initial: battery=87%, current=-308mA
[23:19:50] >>> TAP THE SCREEN CONTINUOUSLY (~2 taps/sec) for 900 seconds <<<
[23:19:50] >>> Starting in 5 seconds... <<<
[23:19:55]   Sampling current for 900 seconds during physical interaction...
[23:24:59]     300s / 900s elapsed
[23:30:03]     600s / 900s elapsed
[23:35:06]     900s / 900s elapsed
[23:35:06] >>> Test period complete - you can stop tapping <<<
[23:35:07]   Final: battery=87%, drain=0%
[23:35:07]   Average current: -1502.5mA
[23:35:07]   Wakeups: 210626 total, 229.69/sec
active,4,917,0,-308,-294,-1502.5,229.69
[23:36:07] Running active power test (run 5, 900s)...
[23:36:07] NOTE: This test requires PHYSICAL touch input on the device screen
[23:36:07] Resetting battery statistics...
[23:36:09]   Initial: battery=87%, current=-4882mA
[23:36:09] >>> TAP THE SCREEN CONTINUOUSLY (~2 taps/sec) for 900 seconds <<<
[23:36:09] >>> Starting in 5 seconds... <<<
[23:36:14]   Sampling current for 900 seconds during physical interaction...
[23:41:22]     300s / 900s elapsed
[23:46:26]     600s / 900s elapsed
[23:51:30]     900s / 900s elapsed
[23:51:30] >>> Test period complete - you can stop tapping <<<
[23:51:30]   Final: battery=87%, drain=0%
[23:51:30]   Average current: -1736.2mA
[23:51:30]   Wakeups: 189122 total, 205.34/sec
active,5,921,0,-4882,-460,-1736.2,205.34
